grid_point,index,value,sampled_n
gp_157,N0,11.891,40
gp_157,N1,7.417459974973494,40
gp_157,N2,5.109521202652726,40
gp_157,E10,0.6250614658261884,40
gp_157,E20,0.43243132512956983,40
gp_158,N0,15.731,40
gp_158,N1,12.275222830504228,40
gp_158,N2,10.039164799091234,40
gp_158,E10,0.7810117692370421,40
gp_158,E20,0.6395085666224922,40
gp_159,N0,13.54,40
gp_159,N1,8.283811451406807,40
gp_159,N2,5.867874891662861,40
gp_159,E10,0.6128060944125897,40
gp_159,E20,0.4361722812675012,40
gp_16,N0,10.797,40
gp_16,N1,6.243876596614508,40
gp_16,N2,4.356715470519152,40
gp_16,E10,0.5814171461843948,40
gp_16,E20,0.4097379352112204,40
gp_160,N0,9.7,40
gp_160,N1,5.6465093458267335,40
gp_160,N2,3.7419297343155056,40
gp_160,E10,0.5822178973475803,40
gp_160,E20,0.3879404636185197,40
gp_161,N0,13.66,40
gp_161,N1,7.175536138847562,40
gp_161,N2,4.78736491365229,40
gp_161,E10,0.5273505586974369,40
gp_161,E20,0.35388825178798544,40
gp_162,N0,13.86,40
gp_162,N1,11.086702667475228,40
gp_162,N2,9.401483725837991,40
gp_162,E10,0.8013823775230761,40
gp_162,E20,0.6811343011473313,40
gp_163,N0,6.821,40
gp_163,N1,3.986778125699909,40
gp_163,N2,3.0801096537216512,40
gp_163,E10,0.5967375158510421,40
gp_163,E20,0.46817267008280083,40
gp_164,N0,5.652,40
gp_164,N1,2.7009290686023055,40
gp_164,N2,1.8893274302794938,40
gp_164,E10,0.48174981593262334,40
gp_164,E20,0.3404455255343095,40
gp_165,N0,6.173,40
gp_165,N1,4.88095518522045,40
gp_165,N2,4.2959844142047805,40
gp_165,E10,0.7990849033035389,40
gp_165,E20,0.7062350664021818,40
gp_166,N0,2.55,40
gp_166,N1,1.90304683306709,40
gp_166,N2,1.6599773834605653,40
gp_166,E10,0.7601992272177917,40
gp_166,E20,0.6684134799889881,40
gp_167,N0,8.731,40
gp_167,N1,5.082963844823141,40
gp_167,N2,3.9357731507331364,40
gp_167,E10,0.5901024975686896,40
gp_167,E20,0.46155352457408255,40
gp_168,N0,12.99,40
gp_168,N1,8.249579510724939,40
gp_168,N2,5.86852135399477,40
gp_168,E10,0.6359639831811889,40
gp_168,E20,0.45406096499389326,40
gp_169,N0,13.998,40
gp_169,N1,9.281026575303976,40
